cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Governor,OK-G1,9/17/2022,_lite,Joy Hofmeister,,,,,Kevin Stitt,,,,all others,0.079475,0,0,0,0.920525,0,0,0,0,0,0.079475,0.920525,0.0276625,1.966908,1122609,1354025,894284.3,42.13444,0,0,0,0,53.52602,0,0,0,4.339542,0,7.829252,47.56647,58.90075,0,0,0,0,0,0,0,1.504903,36.69925,48.07262,0,0,0,0,0,0,-36.97133,2842656,-11.39158,-1.091185,-21.56565,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,OH-G1,9/17/2022,_lite,Nan Whaley,,,,,Mike DeWine,,,,,0.021225,0,0,0,0.978775,0,0,0,0,0,0.021225,0.978775,0.0115125,0.2303992,3988502,4744758,3253711,43.74082,0,0,0,0,56.25918,0,0,0,0,0,0,47.56707,60.0368,0,0,0,0,0,0,0,0,39.9632,52.43293,0,0,0,0,0,0,-12.10777,8831240,-12.51836,-4.86586,-20.07359,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,NY-G1,9/17/2022,_lite,Kathy C. Hochul,,,,,Lee M. Zeldin,,,,all others,0.982225,0,0,0,0.017775,0,0,0,0,0,0.982225,0.017775,0.0041,0.0599941,5455024,6556738,4371419,56.0926,0,0,0,0,41.76448,0,0,0,2.14292,0,4.192361,60.44427,46.11739,0,0,0,0,0,0,0,0.5424325,51.70416,37.42002,0,0,0,0,0,0,19.93185,1.34E+07,14.32813,22.73128,5.871216,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,NV-G1,9/17/2022,_lite,Steve Sisolak,,,,,Joe Lombardo,,,,all others,0.60665,0,0,0,0.39335,0,0,0,0,0,0.60665,0.39335,0.0836625,7.419044,900127.6,1075344,728850.4,49.20416,0,0,0,0,47.3826,0,0,0,3.413237,0,6.335797,53.87344,52.06899,0,0,0,0,0,0,0,1.055668,44.45631,42.66811,0,0,0,0,0,0,-2.531046,2105890,1.82156,10.73769,-7.092999,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,NM-G1,9/17/2022,_lite,Michelle Lujan Grisham,,,,Karen Bedonie,Mark V. Ronchetti,,,,,0.847,0,0,0,0.152925,0,0,0,0.000075,0,0.847,0.152925,0.0345625,4.556255,605505.8,725952.3,485769.9,52.20616,0,0,0,2.626203,45.16764,0,0,0,0,5.017826,0,56.88992,49.78128,0,0,0,0,0,0,0.7250555,0,47.58374,40.41687,0,0,0,0,0,0,7.143295,1493579,7.038525,16.09583,-1.830444,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,NH-G1,9/17/2022,_lite,Tom Sherman,,,,,Chris Sununu,,,,all others,0.0241,0,0,0,0.9759,0,0,0,0,0,0.0241,0.9759,0.008275,1.235422,534655.2,627919.1,442666.7,39.62922,0,0,0,0,57.11129,0,0,0,3.259497,0,6.085542,45.27265,62.73875,0,0,0,0,0,0,0,0.9904408,33.97202,51.43473,0,0,0,0,0,0,0.5605241,1075858,-17.48207,-6.543747,-28.36259,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,NE-G1,9/17/2022,_lite,Carol Blood,,,,Scott Zimmerman,Jim Pillen,,,,,0.340375,0,0,0,0.659625,0,0,0,0,0,0.340375,0.659625,0.0529,6.639482,635978.9,754435.4,519842.7,46.23383,0,0,0,2.695607,51.07056,0,0,0,0,5.153684,0,53.99642,58.88018,0,0,0,0,0,0,0.7555296,0,38.38382,43.29024,0,0,0,0,0,0,-24.75782,1365541,-4.836723,10.49067,-20.27429,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,MN-G1,9/17/2022,_lite,Tim Walz,,,,,Scott Jensen,,,,all others,0.974975,0,0,0,0.025025,0,0,0,0,0,0.974975,0.025025,0.00465,0.1786297,2077880,2437455,1725940,55.27333,0,0,0,0,39.84262,0,0,0,4.884049,0,8.63818,60.43774,45.04858,0,0,0,0,0,0,0,1.817182,50.04027,34.5784,0,0,0,0,0,0,1.988413,4066265,15.43071,25.17097,5.68738,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,MI-G1,9/17/2022,_lite,Gretchen Whitmer,,,,,Tudor M. Dixon,,,,all others,0.9473,0,0,0,0.0527,0,0,0,0,0,0.9473,0.0527,0.0111125,0.2544224,3486403,4125201,2854917,53.43027,0,0,0,0,42.56965,0,0,0,4.000073,0,7.227335,57.92093,47.09927,0,0,0,0,0,0,0,1.341695,48.8583,38.021,0,0,0,0,0,0,-1.182822,7501276,10.86063,19.28768,2.438156,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,ME-G1,9/17/2022,_lite,Janet T. Mills,,,,Sam Hunkler,Paul R. LePage,,,,,0.854625,0,0,0,0.145375,0,0,0,0,0,0.854625,0.145375,0.0293375,4.287554,546178.6,641400.8,453062.7,53.37299,0,0,0,2.21804,44.40897,0,0,0,0,4.350121,0,59.021,50.03817,0,0,0,0,0,0,0.5643745,0,47.74908,38.73857,0,0,0,0,0,0,4.372984,1088975,8.964027,19.96848,-2.038109,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,MD-G1,9/17/2022,_lite,Wes Moore,,,,,Dan Cox,,,,all others,0.883775,0,0,0,0.116225,0,0,0,0,0,0.883775,0.116225,0.0179875,0.7833977,1832777,2194735,1481216,54.99461,0,0,0,0,40.72635,0,0,0,4.279049,0,7.689164,62.90124,48.63031,0,0,0,0,0,0,0,1.482783,47.10161,32.7585,0,0,0,0,0,0,26.27618,4305056,14.26826,29.68935,-1.189606,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,MA-G1,9/17/2022,_lite,Maura Healey,,,,,Geoff Diehl,,,,all others,0.99095,0,0,0,0.00905,0,0,0,0,0,0.99095,0.00905,0.0014,0.0516881,2162015,2584833,1746018,58.88917,0,0,0,0,37.24297,0,0,0,3.867858,0,7.035082,64.59653,42.84483,0,0,0,0,0,0,0,1.273958,53.21724,31.46544,0,0,0,0,0,0,32.67038,4999558,21.6462,32.65085,10.91101,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,KS-G1,9/17/2022,_lite,Laura Kelly,,,,,Derek Schmidt,,,,all others,0.8471,0,0,0,0.1529,0,0,0,0,0,0.8471,0.1529,0.031525,2.656357,947305.2,1123891,771168.3,52.70121,0,0,0,0,44.3884,0,0,0,2.910381,0,5.506004,58.10468,49.80984,0,0,0,0,0,0,0,0.8527646,47.24674,38.94411,0,0,0,0,0,0,-21.09543,2089024,8.312809,18.83526,-2.219141,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,IL-G1,9/17/2022,_lite,J.B. Pritzker,,,,Scott Schluter,Darren Bailey,,,,,0.956975,0,0,0,0.043025,0,0,0,0,0,0.956975,0.043025,0.009,0.1612479,4455226,5241551,3688182,55.49171,0,0,0,2.38212,42.12617,0,0,0,0,4.643517,0,60.473,47.06509,0,0,0,0,0,0,0.6291795,0,50.51128,37.10435,0,0,0,0,0,0,13.22368,8928145,13.36555,23.08557,3.724651,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,ID-G1,9/17/2022,_lite,Stephen Heidt,,,,,Brad Little,,,,all others,0.015625,0,0,0,0.984375,0,0,0,0,0,0.015625,0.984375,0.0039125,0.5800723,538385.6,647734.4,432265.5,32.42859,0,0,0,0,60.26421,0,0,0,7.307197,0,12.07352,40.55506,68.37598,0,0,0,0,0,0,0,3.20417,24.31719,52.05742,0,0,0,0,0,0,-36.76822,1297934,-27.83562,-12.1783,-43.34475,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,IA-G1,9/17/2022,_lite,Deidre DeJear,,,,Rick Stewart,Kim Reynolds,,,,,0.061275,0,0,0,0.9387,0,0,0,0.000025,0,0.061275,0.9387,0.0220875,1.501732,1174020,1375673,972988.5,42.4771,0,0,0,2.81553,54.70737,0,0,0,0,5.327522,0,47.63316,59.92576,0,0,0,0,0,0,0.8101239,0,37.25011,49.46987,0,0,0,0,0,0,-9.622491,2295209,-12.23028,-2.163736,-22.34954,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,HI-G1,9/17/2022,_lite,Josh Green,,,,,Duke Aiona,,,,,0.875925,0,0,0,0.124075,0,0,0,0,0,0.875925,0.124075,0.01915,4.016026,380621.6,461877.7,300037.1,57.14321,0,0,0,0,42.85679,0,0,0,0,0,0,65.1827,50.802,0,0,0,0,0,0,0,0,49.198,34.8173,0,0,0,0,0,0,31.80856,1007469,14.28642,30.3654,-1.604004,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,GA-G1,9/17/2022,_lite,Stacey Abrams,,,,Shane Hazel,Brian Kemp,,,,,0.250325,0,0,0,0.749675,0,0,0,0,0,0.250325,0.749675,0.1064375,2.62992,3230527,3842341,2628947,47.36879,0,0,0,1.554836,51.07637,0,0,0,0,3.189923,0,51.2379,54.92661,0,0,0,0,0,0,0.3371877,0,43.5201,47.18839,0,0,0,0,0,0,-7.357742,7356953,-3.707577,3.863943,-11.22398,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,FL-G1,9/17/2022,_lite,Charlie Crist,,,,,Ron DeSantis,,,,all others,0.137925,0,0,0,0.862075,0,0,0,0,0,0.137925,0.862075,0.069625,0.7500319,7409802,8703296,6143679,45.81203,0,0,0,0,52.09134,0,0,0,2.096631,0,4.11176,49.66471,55.88341,0,0,0,0,0,0,0,0.5297239,41.96809,48.2122,0,0,0,0,0,0,-7.44125,1.46E+07,-6.279316,1.160192,-13.60068,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,CT-G1,9/17/2022,_lite,Edward Lamont,,,,,Robert Stefanowski,,,,all others,0.909325,0,0,0,0.090675,0,0,0,0,0,0.909325,0.090675,0.018725,1.203449,1241982,1467768,1020347,53.33074,0,0,0,0,42.92542,0,0,0,3.743839,0,6.901804,58.51698,48.13349,0,0,0,0,0,0,0,1.192984,48.08501,37.64383,0,0,0,0,0,0,12.14246,2618620,10.40533,20.28759,0.4533672,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,CO-G1,9/17/2022,_lite,Jared Polis,,,,,Heidi Ganahl,,,,all others,0.8971,0,0,0,0.1029,0,0,0,0,0,0.8971,0.1029,0.0217875,0.8087584,2150353,2521309,1786342,52.84931,0,0,0,0,43.16863,0,0,0,3.982062,0,7.210798,57.94204,48.27279,0,0,0,0,0,0,0,1.331748,47.64074,37.9954,0,0,0,0,0,0,6.733898,4183729,9.680676,19.39915,-0.1359386,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,CA-G1,9/17/2022,_lite,Gavin Newsom,,,,,Brian Dahle,,,,,0.997975,0,0,0,0.002025,0,0,0,0,0,0.997975,0.002025,0.0005,0.0038688,1.03E+07,1.24E+07,8253321,63.04016,0,0,0,0,36.95984,0,0,0,0,0,0,68.20224,42.16014,0,0,0,0,0,0,0,0,57.83986,31.79776,0,0,0,0,0,0,25.74052,2.54E+07,26.08031,36.40448,15.67971,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,AZ-G1,9/17/2022,_lite,Katie Hobbs,,,,Barry Hess,Kari Lake,,,,,0.736725,0,0,0,0.26325,0,0,0,0.000025,0,0.736725,0.26325,0.065975,2.450021,2149467,2563527,1741939,51.11403,0,0,0,1.473949,47.41203,0,0,0,0,2.988123,0,55.08102,51.34078,0,0,0,0,0,0,0.314467,0,47.18927,43.39698,0,0,0,0,0,0,-7.109708,4969373,3.702003,11.47113,-3.956493,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,AR-G1,9/17/2022,_lite,Chris Jones,,,,Ricky Dale Harrington Jr.,Sarah Huckabee Sanders,,,,,0.0705,0,0,0,0.9295,0,0,0,0,0,0.0705,0.9295,0.016725,1.57418,848072.3,1026213,674129.6,41.29678,0,0,0,1.250474,57.45274,0,0,0,0,2.604919,0,48.30774,64.42484,0,0,0,0,0,0,0.2406419,0,34.30171,50.45378,0,0,0,0,0,0,-31.52285,2180916,-16.15596,-2.218607,-30.02422,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,AL-G1,9/17/2022,_lite,Yolanda Rochelle Flowers,,,,James “Jimmy” Blake,Kay Ivey,,,,,0.023775,0,0,0,0.976175,0,0,0,0.00005,0,0.023775,0.976175,0.0057625,0.3234259,1422189,1709323,1142060,35.91057,0,0,0,3.302483,60.78695,0,0,0,0,6.177915,0,43.78506,68.57043,0,0,0,0,0,0,1.009207,0,28.09276,52.93787,0,0,0,0,0,0,-29.19992,3459287,-24.87637,-9.46871,-40.17551,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,AK-G1,9/17/2022,_lite,Les Gara,,,,Bill Walker,Mike Dunleavy,Charlie Pierce,,,,0.121875,0,0,0,0.785,0.0002,0,0,0.092925,0,0.121875,0.7852,0.0200625,6.540939,244830.8,289891.2,201016.3,29.46168,0,0,0,24.1,40.13869,6.299634,0,0,0,31.35661,0,38.70121,48.75813,0,10.4256,0,0,0,0,17.16065,0,19.96451,31.80645,0,2.600235,0,0,0,0,-14.61795,521658,-16.97664,-0.1505604,-34.27145,,,,,,,,,,,,,,,,,,,40000,9/17/22 20:13
2022,Governor,WY-G1,9/16/2022,_lite,Theresa A. Livingston,,,,Jared J. Baldes,Mark Gordon,,,,,0.0077,0,0,0,0.992275,0,0,0,0.000025,0,0.0077,0.992275,0.0017125,0.8166286,167389.1,203214.8,132401.6,31.35958,0,0,0,4.938787,63.70163,0,0,0,0,8.676077,0,39.26571,71.74451,0,0,0,0,0,0,1.825348,0,23.35345,55.70376,0,0,0,0,0,0,-49.87335,424412,-32.34206,-16.96427,-47.9529,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,WI-G1,9/16/2022,_lite,Tony Evers,,,,Joan Ellis Beglinger,Tim Michels,,,,,0.648125,0,0,0,0.351875,0,0,0,0,0,0.648125,0.351875,0.0783625,2.659302,2352133,2743901,1970449,50.46239,0,0,0,1.592474,47.94514,0,0,0,0,3.229358,0,54.98773,52.3891,0,0,0,0,0,0,0.3518691,0,45.97998,43.37894,0,0,0,0,0,0,-3.823667,4351464,2.517246,11.37929,-6.208754,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,VT-G1,9/16/2022,_lite,Brenda Siegel,,,,,Phil Scott,,,,all others,0.00045,0,0,0,0.99955,0,0,0,0,0,0.00045,0.99955,0.0001125,0.0408252,219960.8,262604.3,178039.7,23.4064,0,0,0,0,69.17657,0,0,0,7.417026,0,12.22993,30.88153,76.77235,0,0,0,0,0,0,0,3.288405,15.74869,61.64691,0,0,0,0,0,0,27.77288,503792,-45.77016,-31.59189,-60.17117,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,TX-G1,9/16/2022,_lite,Beto O'Rourke,,,,,Greg Abbott,,,,all others,0.19895,0,0,0,0.80105,0,0,0,0,0,0.19895,0.80105,0.071075,0.7982008,7107648,8583272,5658111,45.6086,0,0,0,0,51.59463,0,0,0,2.796775,0,5.351311,50.4232,56.34803,0,0,0,0,0,0,0,0.7857074,40.74402,46.77185,0,0,0,0,0,0,-12.90963,1.85E+07,-5.986034,3.242764,-15.20874,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,TN-G1,9/16/2022,_lite,Jason Brantley Martin,,,,,Bill Lee,,,,all others,0.0245,0,0,0,0.9755,0,0,0,0,0,0.0245,0.9755,0.0059125,0.2638284,1788838,2170582,1413859,31.85038,0,0,0,0,56.38599,0,0,0,11.76363,0,17.77411,40.05614,64.66295,0,0,0,0,0,0,0,6.315452,23.53268,48.06754,0,0,0,0,0,0,-29.21185,4750229,-24.53561,-9.164732,-39.93878,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,SD-G1,9/16/2022,_lite,Jamie Smith,,,,Tracey Quint,Kristi Noem,,,,,0.02255,0,0,0,0.977425,0,0,0,0.000025,0,0.02255,0.977425,0.0052875,1.470217,287071.6,341513,232629.3,35.29822,0,0,0,3.900762,60.80102,0,0,0,0,7.115655,0,43.234,68.68123,0,0,0,0,0,0,1.282725,0,27.33865,52.81389,0,0,0,0,0,0,-32.01005,647453,-25.5028,-9.998413,-40.92434,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,SC-G1,9/16/2022,_lite,Joe Cunningham,,,,Bruce Reeves,Henry McMaster,,,,,0.13745,0,0,0,0.86255,0,0,0,0,0,0.13745,0.86255,0.0519375,2.613524,1586265,1903597,1272993,45.23697,0,0,0,1.941958,52.82108,0,0,0,0,3.848745,0,49.84129,57.38576,0,0,0,0,0,0,0.4665968,0,40.66135,48.2114,0,0,0,0,0,0,-18.29783,3897996,-7.58411,1.349152,-16.52346,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,RI-G1,9/16/2022,_lite,Daniel J. McKee,,,,,Ashley Kalus,,,,all others,0.93035,0,0,0,0.06965,0,0,0,0,0,0.93035,0.06965,0.012475,3.162012,314918.6,379489.9,251602.2,55.1689,0,0,0,0,39.96328,0,0,0,4.867816,0,8.581379,61.9405,46.72166,0,0,0,0,0,0,0,1.776836,48.33774,33.1748,0,0,0,0,0,0,23.66066,794970,15.20562,28.15244,2.18609,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,PA-G1,9/16/2022,_lite,Josh Shapiro,,,,,Douglas V. Mastriano,,,,all others,0.9411,0,0,0,0.0589,0,0,0,0,0,0.9411,0.0589,0.0131,0.2304146,4538189,5372514,3715154,53.6837,0,0,0,0,44.22526,0,0,0,2.091042,0,4.148311,57.68388,48.1746,0,0,0,0,0,0,0,0.5169346,49.68975,40.23897,0,0,0,0,0,0,-2.976064,9742133,9.458443,17.1228,1.806429,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,OR-G1,9/16/2022,_lite,Tina Kotek,,,,,Christine Drazan,,,,all others,0.674325,0,0,0,0.325675,0,0,0,0,0,0.674325,0.325675,0.0627125,3.123428,1602669,1877042,1326716,46.72285,0,0,0,0,43.20555,0,0,0,10.07159,0,15.71465,52.6186,49.01608,0,0,0,0,0,0,0,5.060016,40.80404,37.24847,0,0,0,0,0,0,10.62213,3113975,3.517296,13.94972,-6.794683,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
2022,Governor,OK-G1,9/16/2022,_lite,Joy Hofmeister,,,,,Kevin Stitt,,,,all others,0.0813,0,0,0,0.9187,0,0,0,0,0,0.0813,0.9187,0.0277125,1.970496,1122591,1358025,891973.8,42.13242,0,0,0,0,53.52811,0,0,0,4.339475,0,7.775918,47.59536,58.90798,0,0,0,0,0,0,0,1.503783,36.67719,48.02499,0,0,0,0,0,0,-36.97133,2842656,-11.39569,-0.9852123,-21.60045,,,,,,,,,,,,,,,,,,,40000,9/16/22 20:46
